Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C16, C18, C3, C4, C5, C6, C7",0603,9,100nF,C14663
"C12, C13",0603,2,22uF,C59461
C15,0603,1,10uF,C96446
C17,0603,1,1uF,C15849
C2,0603,1,12pF,C38523
D1,0603,1,YELLOW,C72038
"D2, D3, D4",D_SOD-123,3,D_Schottky,C8598
"F1, F2",0805,2,1A,C468888
"FID1, FID2, FID3",Fiducial_0.5mm_Mask1mm,3,Fiducial,N/A
J2,TF01A,1,TF003,C5155563 
J6,DSUB-25_Male_EdgeMount_P2.77mm,1,DB25_Plug,N/A
JP1,PinHeader_2x01_P2.54mm_Vertical,1,Jumper_2_Open,N/A
L1,0603,1,Ferrite_Bead_Small,C1002
L2,L_Sunlord_SWPA252012S,1,2.2uH,C351245
"R1, R10, R11, R12, R13, R18, R2, R3, R43, R5, R7, R8, R9",0603,13,4k7,C23162
R14,0603,1,510,C23193
"R15, R17, R19, R20, R21, R4, R6",0603,7,1k,C21190
R16,0603,1,110,C22781
"R22, R24, R26, R28, R30, R32, R34, R36, R38, R44, R45, R46, R47, R48, R49, R50, R51, R52",0603,18,220,C22962
"R23, R25, R27, R29, R31, R33, R35, R37, R39, R53, R54, R55, R56, R57, R58, R59, R60, R61",0603,18,330,C23138
R41,0603,1,31k6,C25967
R42,0603,1,10k,C25804
SW1,SW_DIP_SPSTx02_Slide_6.7x6.64mm_W8.61mm_P2.54mm_LowProfile,1,SW_DIP_x02,N/A
U1,RPi_Pico_W_SMD,1,Pico W,C7203003
"U2, U3",SSOP-20_5.3x7.2mm_P0.65mm,2,74LVT245,C2652121
U4,SOT-23-5,1,74AHCT1G125,C12494
"U5, U6",TSSOP-14_4.4x5mm_P0.65mm,2,74LVT125,C7042
U8,TSOT-23-6,1,AP62250WU,C5184228
